Player,Club,Nation,Age,Market Value
Kyle Walker,England,England,34,€13.00m
Kieran Trippier,England,England,34,€10.00m
Mats Hummels,Germany,Germany,35,€5.00m
Matteo Darmian,Italy,Italy,35,€4.00m
Francesco Acerbi,Italy,Italy,36,€3.50m
Axel Witsel,Belgium,Belgium,35,€3.50m
Romain Saïss,Morocco,Morocco,34,€3.00m
Nacho Fernández,Spain,Spain,34,€3.00m
Daley Blind,Netherlands,Netherlands,34,€3.00m
Toby Alderweireld,Belgium,Belgium,35,€2.80m
David López,Spain,Spain,35,€2.50m
Chris Smalling,England,England,35,€2.50m
Rafael Tolói,Italy,Italy,34,€2.50m
Jordi Alba,Spain,Spain,35,€2.50m
Jesús Navas,Spain,Spain,39,€2.50m
Gabriel Paulista,Brazil,Brazil,34,€2.00m
Craig Dawson,England,England,34,€2.00m
Sebastián Coates,Uruguay,Uruguay,34,€2.00m
César Azpilicueta,Spain,Spain,35,€2.00m
Jonny Evans,Northern Ireland,Northern Ireland,36,€2.00m
Yuri Berchiche,Spain,Spain,34,€1.80m
Sergio Ramos,Spain,Spain,38,€1.80m
Ismaily,Brazil,Brazil,34,€1.50m
Óscar de Marcos,Spain,Spain,35,€1.50m
Jan Vertonghen,Belgium,Belgium,37,€1.50m
Raúl Albiol,Spain,Spain,39,€1.50m
Stefan Mitrovic,Serbia,Serbia,34,€1.30m
Patrick van Aanholt,Netherlands,Netherlands,34,€1.20m
Álvaro González,Spain,Spain,34,€1.00m
Cristian Lema,Argentina,Argentina,34,€1.00m
Lisandro López,Argentina,Argentina,35,€1.00m
Guido Pizarro,Argentina,Argentina,34,€1.00m
Mário Fernandes,Russia,Russia,34,€1.00m
Joel Ward,England,England,35,€1.00m
Ben Mee,England,England,35,€1.00m
Danilo D'Ambrosio,Italy,Italy,36,€1.00m
Nicolás Otamendi,Argentina,Argentina,36,€1.00m
Zanka,Denmark,Denmark,34,€1.00m
Simon Kjær,Denmark,Denmark,35,€1.00m
Domagoj Vida,Croatia,Croatia,35,€1.00m
Marcelo,Brazil,Brazil,36,€1.00m
Dejan Lovren,Croatia,Croatia,35,€1.00m
Aaron Cresswell,England,England,34,€900k
Michael Ngadeu,Cameroon,Cameroon,34,€800k
Carlos Izquierdoz,Argentina,Argentina,36,€800k
Javier Aquino,Mexico,Mexico,34,€800k
Luis Advíncula,Peru,Peru,34,€800k
Marcos Rojo,Argentina,Argentina,34,€800k
Simone Romagnoli,Italy,Italy,34,€800k
Cote,Spain,Spain,35,€800k
